,germination,growth,maturity
18964,283.3480952380952,290.7372,281.30112380952386
18965,281.9880952380951,289.02513227513225,279.59513227513224
18966,283.08072289156627,289.83932874354565,281.09373493975903
18967,281.0958848614072,287.930724946695,278.8920895522388
18968,281.99052100840333,288.9173781512605,279.9084033613445
18969,281.08416829745596,288.2025244618395,278.99461839530335
18970,280.7530438842204,287.83112978524736,278.9229318394024
18971,282.21621730382293,289.83698189134816,280.06975855130776
18972,281.19282738095234,289.121994047619,280.153125
18973,282.48823529411766,290.0636764705882,280.45957983193273
18974,281.352757936508,288.49206349206344,279.1299404761905
18975,283.1448626373627,290.74302197802206,281.19549450549454
18976,279.6076984126984,286.7951851851852,277.5670370370371
18977,282.0912280701755,289.1050125313283,280.2986466165414
18978,282.1915925058548,289.9405854800937,280.3564402810304
18979,280.24399769585256,286.9578225806452,280.6978686635944
18980,277.35047619047623,285.22782312925165,278.9760166288739
18981,279.45496190476194,286.66326666666674,279.92757142857135
18982,277.3156309060589,285.0862034463591,279.0175097276264
18983,280.2777572964669,287.7184792626728,281.2724270353303
18984,281.32231990231986,287.79738705738697,281.4439072039072
18985,278.92673598553347,286.34369801084995,279.63523508137433
18986,280.4778857142857,287.66685714285717,281.1540761904762
18987,279.57362351190477,286.4208333333333,279.9376190476191
18988,279.40874649859944,285.94528011204477,279.5882282913166
18989,280.73041758241766,287.4211208791209,281.2614175824176
18990,281.0726822157433,287.80421282798835,281.5565160349854
18991,280.78768611670023,287.5027028839705,281.09217303822936
18992,280.8369285714286,287.5737653061224,281.1897755102041
18993,665.8322108843537,673.8500850340135,668.4364455782313
18994,280.12420689655175,286.86396059113304,280.38110344827595
18995,280.2550661375661,286.8456481481482,280.37482804232815
18996,276.50840722495894,284.21385878489326,277.69995073891624
18997,280.88339285714284,287.73428571428576,281.4271190476191
18998,276.78555918367346,284.4477469387755,277.9707265306122
18999,281.44601279317703,288.032565742715,281.6547405828003
19000,280.7452795031056,287.4884265010352,281.26590062111813
19001,280.7510093167702,287.39150621118006,280.8444254658386
19002,280.53131041890435,287.27570354457583,280.8706015037594
19003,280.0625909494232,286.49508429458734,280.18271517302577
19004,281.203189033189,288.0644011544012,281.5835642135642
19005,280.3018982387476,286.8893150684931,280.711614481409
19006,281.14027210884365,288.4318707482994,282.4981632653061
19007,279.72211538461534,287.6218681318681,281.7103571428571
19008,281.64863865546215,288.01544537815136,281.8608571428572
19009,280.8307434402333,287.3455976676386,280.8776530612245
19010,277.7223809523809,285.0682936507936,278.3754563492064
19011,278.03695238095247,285.33589523809525,278.5864
19012,280.1517414965986,287.71934693877546,281.82474829931977
19013,279.24014236622486,286.15451644575353,279.53831615120276
19014,277.5259855334538,285.32191681735986,278.70407474382165
19015,280.64299603174607,287.34720238095247,280.9882341269841
19016,281.69565217391306,289.21972049689435,283.52767080745343
19017,280.70081105990783,287.09626728110595,280.9637511520738
19018,278.3974656981436,285.86947538337364,279.13640032284104
19019,277.12599864590385,284.7490724441435,278.0193297224103
19020,280.10946428571424,287.20071428571435,280.6543131868132
19021,280.7235897435897,288.02322344322346,282.3296703296703
19022,280.93330827067666,287.3958646616541,281.14853383458643
19023,280.7038274932615,287.15068733153635,281.0399730458221
19024,279.7552655677656,286.9307326007326,280.292673992674
19025,279.88943915343924,286.6870476190476,280.1842116402116
19026,277.6768163265306,284.9969387755103,278.4298707482993
19027,281.157731092437,288.4713165266106,282.50750700280116
19028,280.4106279434851,287.1966875981162,280.96819466248036
